v0_1_edge_id,v0_1_source,v0_1_target,flashp_edge_id,evidence_stream,mapping_category,proposed_status,notes
H001,Gravistimulation,Amyloplast_Displacement,E001,arabidopsis_mechanistic_prior,exact_match,primary-paper-supported,"Supported as Arabidopsis prior; not Senecio-specific."
H002,Endodermal_Statocyte_Gravity_Sensing,Amyloplast_Displacement,,arabidopsis_mechanistic_prior,context_not_flashp_signed_edge,primary-paper-supported,"Evidence supports tissue context, but this is not represented in FlashP Light curated_edges because sign is NA/context."
H003,Amyloplast_Displacement,LAZY_LZY_Module,E002,arabidopsis_mechanistic_prior,close_mechanistic_refinement,primary-paper-supported,"LZY-family gravity-signalling evidence is a close mechanistic refinement of this broad v0.1 edge."
H004,LAZY_LZY_Module,PIN_Auxin_Redistribution,E003;E004,arabidopsis_mechanistic_prior,close_mechanistic_refinement,primary-paper-supported,"Mapped to LZY/LAZY links with auxin flow or PIN-related redistribution; exact target may need later refinement."
H005,PIN_Auxin_Redistribution,Auxin_Asymmetry,E005,arabidopsis_mechanistic_prior,exact_match,primary-paper-supported,"Supported as Arabidopsis prior for PIN-dependent auxin asymmetry."
H006,Auxin_Asymmetry,Differential_Cell_Expansion,E006,arabidopsis_mechanistic_prior,close_mechanistic_refinement,primary-paper-supported,"Supported as Arabidopsis prior connecting auxin asymmetry to differential growth response."
H007,Differential_Cell_Expansion,Curvature,E007,arabidopsis_mechanistic_prior,close_mechanistic_refinement,primary-paper-supported,"Supported as Arabidopsis prior for differential growth leading to curvature."
H008,Curvature,Shoot_Gravitropic_Bending_Over_Time,,none,missing_evidence,hypothesis,"Needs explicit phenotype time-course support, ideally dark 8-hour Senecio bending data."
H009,Family_Genotype_Effects,LAZY_LZY_Module,,none,missing_senecio_evidence,hypothesis,"No direct family/genotype evidence entered for LZY module differences."
H010,Family_Genotype_Effects,PIN_Auxin_Redistribution,,none,missing_senecio_evidence,hypothesis,"No direct family/genotype evidence entered for auxin transport differences."
H011,Family_Genotype_Effects,Differential_Cell_Expansion,,none,missing_senecio_evidence,hypothesis,"No direct family/genotype evidence entered for differential growth differences."
H012,Family_Genotype_Effects,Shoot_Gravitropic_Bending_Over_Time,,none,missing_senecio_evidence,hypothesis,"Priority target for direct Senecio family bending evidence."
H013,Shoot_Gravitropic_Bending_Over_Time,Gravitropic_vs_Agravitropic_Families,,none,missing_senecio_evidence,hypothesis,"Needs direct evidence that bending trajectories define the family classification."
